Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2018-08-07;1.200,72;1.207,59;1.198,67;1.198,68;4.461.920.256
2018-08-06;1.200,39;1.206,25;1.191,22;1.196,28;3.994.280.192
2018-08-03;1.192,14;1.199,82;1.191,63;1.197,03;4.306.132.480
2018-08-02;1.201,4;1.201,4;1.184,81;1.190,1;5.855.705.600
2018-08-01;1.211,91;1.213,42;1.203,33;1.205,3;5.148.751.872
2018-07-31;1.211,16;1.215,14;1.205,35;1.210,78;5.322.203.648
2018-07-30;1.213,79;1.215,77;1.210,57;1.210,58;3.393.185.536
2018-07-27;1.214,33;1.218,98;1.212,64;1.216,39;4.854.320.640
2018-07-26;1.198,35;1.213,06;1.198,35;1.211,73;6.100.566.528
2018-07-25;1.201,07;1.201,86;1.189,98;1.193,19;4.563.412.480
2018-07-24;1.192,43;1.207,24;1.192,43;1.201,54;4.739.067.904
2018-07-23;1.187,19;1.190,35;1.183,68;1.189,05;3.346.024.960
2018-07-20;1.198,1;1.202,18;1.182,13;1.189,8;5.887.590.400
2018-07-19;1.205,72;1.205,77;1.197,19;1.199,58;4.255.322.368
2018-07-18;1.200,36;1.207,82;1.200,36;1.206,89;4.578.157.056
2018-07-17;1.187,11;1.198,86;1.184,98;1.196,75;4.430.641.152
2018-07-16;1.184,85;1.191,55;1.183,84;1.187,81;3.470.607.360
2018-07-13;1.185,54;1.189,31;1.182,43;1.185,53;3.895.329.792
2018-07-12;1.176,99;1.182,29;1.175,05;1.181,56;4.018.285.056
2018-07-11;1.184,39;1.184,39;1.172,74;1.174,21;4.412.446.208
2018-07-10;1.186,78;1.192,67;1.183,42;1.190,65;4.109.275.392
2018-07-09;1.182,51;1.185,2;1.179,6;1.183,84;3.742.044.672
2018-07-06;1.178,36;1.179,71;1.173,2;1.178,97;5.087.607.808
2018-07-05;1.161,44;1.179,5;1.161,44;1.175,47;5.485.278.720
2018-07-04;1.164,51;1.165,13;1.159,19;1.161,96;3.539.081.216
2018-07-03;1.159,25;1.171,94;1.159,25;1.166,02;4.581.517.824
2018-07-02;1.159,63;1.160,6;1.146,82;1.155,46;4.840.045.568
2018-06-29;1.153,22;1.168,57;1.153,22;1.162,24;6.047.979.008
2018-06-28;1.162,32;1.169,93;1.143,85;1.149,96;5.845.952.000
2018-06-27;1.159,24;1.175,74;1.148,99;1.167,99;6.058.582.016
2018-06-26;1.165,3;1.169,12;1.156,39;1.159,43;5.090.867.712
2018-06-25;1.184,49;1.184,55;1.161,61;1.161,64;5.387.375.616
2018-06-22;1.184,83;1.190,19;1.182,39;1.189,83;4.903.705.088
2018-06-21;1.203,6;1.204,17;1.181,29;1.184,37;6.340.384.768
2018-06-20;1.201,96;1.206,08;1.199,26;1.200,61;4.854.814.208
2018-06-19;1.210,45;1.210,45;1.191,19;1.197,75;5.706.608.128
2018-06-18;1.222,77;1.225,19;1.208,34;1.212,7;4.730.372.608
2018-06-15;1.237,93;1.243,55;1.227,35;1.227,41;14.344.632.320
2018-06-14;1.214,06;1.240,14;1.212,03;1.238,04;7.287.746.048
