arivaID,country,exchangeID,file_urls,files,foundingyear,industry,isin,listingdate,sector,security_name,stocktype,ticker
141673021,,123,http://www.ariva.de/quote/historic/historic.csv?secu=141673021&boerse_id=123&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=141673021&boerse_id=123&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_CH0478634105.csv', 'checksum': '0f640b61917992ffc48cd602d747476e'}]",,,CH0478634105,,,aevis_n1-aktie,,
131835389,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=131835389&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=131835389&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A2E4LE9.csv', 'checksum': 'f26f8317b7a41f93bc5b9be62dad13e2'}]",0,Elektrotechnologie,DE000A2E4LE9,-,Technologie,voltabox-aktie,Inlandsaktie,VBX
35339,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=35339&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=35339&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE0006578008.csv', 'checksum': '9a0a2828c35dbdf771e271e011ed39c8'}]",1856,Maschinenbau,DE0006578008,-,Industrie,khd_humboldt_wedag_international-aktie,Inlandsaktie,KWG
178,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=178&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=178&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A12UP37.csv', 'checksum': 'df0f52213553557161763399668e1b61'}]",1989,IT-Software (Telekommunikation und Internet),DE000A12UP37,01.10.1999,Software,norcom_information_technology-aktie,Inlandsaktie,NC5A
681213,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=681213&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=681213&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A0B65S3.csv', 'checksum': '4ad905bc4029f004abb02573cc100909'}]",2000,Pharma,DE000A0B65S3,10.02.2005,Chemie/Pharma,paion-aktie,Inlandsaktie,PA8
5622,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=5622&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=5622&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE0008019001.csv', 'checksum': '846cef75220d4a34e921dabf900aceaf'}]",0,Finanzdienstleistungen,DE0008019001,16.07.2015,Finanzsektor,deutsche_pfandbriefbank-aktie,Inlandsaktie,PBB
27701,Österreich,58,http://www.ariva.de/quote/historic/historic.csv?secu=27701&boerse_id=58&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=27701&boerse_id=58&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_AT0000A21KS2.csv', 'checksum': '638109abcf46664b527960899364aaa9'}]",1990,Immobilien,AT0000A21KS2,03.05.1999,Diverse,immofinanz_immobilien_anlagen-aktie,Auslandsaktie,IMO1
130509101,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=130509101&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=130509101&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A0WMNK9.csv', 'checksum': '26ec0109fca5657dea4ebee7e3f7699f'}]",0,Restaurants und Foodvertrieb,DE000A0WMNK9,-,Konsumgüter,vapiano-aktie,Inlandsaktie,VAO
131252955,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=131252955&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=131252955&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A2E3707.csv', 'checksum': 'c8640920e499347a39eada43aa77c97a'}]",1995,IT-Software (Telekommunikation und Internet),DE000A2E3707,08.11.2006,Software,asknet_na-aktie,Inlandsaktie,A5AB
817491,Deutschland,131,http://www.ariva.de/quote/historic/historic.csv?secu=817491&boerse_id=131&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=817491&boerse_id=131&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE000A14KL72.csv', 'checksum': 'c7a89c21dd278c322f278a3a541047a6'}]",1997,Pharma,DE000A14KL72,15.12.2005,Chemie/Pharma,4_sc-aktie,Inlandsaktie,VSC
4567,Deutschland,6,http://www.ariva.de/quote/historic/historic.csv?secu=4567&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download,"[{'url': 'http://www.ariva.de/quote/historic/historic.csv?secu=4567&boerse_id=6&clean_split=1&clean_payout=1&clean_bezug=1&min_time=2000-01-01&max_time=2019-07-12&trenner=%3B&go=Download', 'path': 'isin_DE0006208408.csv', 'checksum': '90a8d3a1c5b0f265ce231c4bc5935a18'}]",0,Textilindustrie,DE0006208408,-,Industrie,kap-aktie,Inlandsaktie,IUR
